Name,Index
sternum,5621
rshoulder,6629
lshoulder,3878
r_lelbow,7040
l_lelbow,4302
r_melbow,7105
l_melbow,4369
r_lwrist,7584
l_lwrist,4848
r_mwrist,7457
l_mwrist,4721
r_ASIS,8421
l_ASIS,5727
r_PSIS,8371
l_PSIS,5677
r_knee,6401
l_knee,3640
r_mknee,6407
l_mknee,3646
r_ankle,8576
l_ankle,5882
r_mankle,8680
l_mankle,8892
r_5meta,8596
l_5meta,5902
r_toe,8589
l_toe,5895
r_big_toe,8482
l_big_toe,5788
l_calc,8846
r_calc,8634
r_bpinky,7978
l_bpinky,4807
r_tpinky,8004
l_tpinky,5268
r_bindex,7483
l_bindex,4747
r_tindex,7664
l_tindex,4928
r_tmiddle,7776
l_tmiddle,5040
r_tring,7887
l_tring,5151
r_bthumb,7420
l_bthumb,4684
r_tthumb,8078
l_tthumb,5342
C7,5484
L2,5941
T11,5489
T6,5500
